1607715522	174	2458	397
1607715532	814	7511	1211
1607715543	1374	13099	2099
1607715553	1888	18000	3115
1607715563	2418	22157	4034
1607715573	2794	27366	4907
1607715583	3226	31962	5980
1607715593	3760	36677	6905
1607715603	4168	42057	8002
1607715613	4646	47859	8954
1607715623	5088	53103	9821
1607715633	5560	58942	10944
1607715643	6028	64047	11930
1607715653	6520	68986	12897
1607715663	7118	74030	13929
1607715673	7566	78568	14892
1607715683	8076	83905	15852
1607715693	8504	88223	16629
1607715703	8986	93220	17536
1607715713	9402	98381	18681
1607715723	9882	103727	19723
1607715733	10400	108642	20717
1607715743	10886	113295	21683
1607715753	11290	118233	22729
1607715763	11552	123200	23690
1607715773	12068	127952	24675
1607715783	12648	132224	25799
1607715793	13258	137020	26982
1607715803	13756	142267	27939
1607715813	14194	146950	28818
1607715823	14692	151843	29799
1607715833	15186	157022	30710
1607715843	15794	161843	31755
1607715853	16282	166687	32729
1607715863	16734	171504	33619
1607715873	17166	176582	34673
1607715883	17754	182512	35759
1607715893	18120	187687	36602
1607715903	18744	192706	37547
1607715913	19242	198204	38631
1607715923	19736	202954	39640
1607715933	20290	207604	40541
1607715943	20676	212993	41633
1607715953	21034	217963	42599
1607715963	21498	222831	43583
1607715973	21882	227825	44689
1607715983	22296	233110	45629
1607715993	22744	237597	46698
1607716003	23192	242244	47509
1607716013	23714	246900	48562
1607716023	24422	252028	49605
1607716033	24948	257642	50717
1607716043	25458	262291	51495
1607716053	25976	266882	52522
1607716063	26316	272163	53743
1607716073	26910	277256	54712
1607716083	27454	281874	55836
1607716093	27924	286518	56718
1607716103	28420	291809	57649
1607716113	29052	297029	58855
1607716123	29560	302010	59926
1607716133	30008	307411	60772
1607716143	30548	312540	61779
1607716153	31066	317816	62784
1607716163	31594	322873	63706
1607716173	32006	328270	64725
1607716183	32552	332609	65792
1607716193	32998	337696	66964
1607716203	33558	342494	67907
1607716213	33960	347717	68786
1607716223	34398	352100	69785
1607716233	34942	356785	70779
1607716243	35512	361923	71810
1607716253	36038	366064	72763
1607716263	36458	371300	73817
1607716273	36888	376817	74942
1607716283	37364	381429	76012
1607716293	37898	385614	76998
1607716303	38320	389650	77988
1607716313	38946	394540	78951
1607716323	39488	399140	80066
1607716333	40070	403974	81044
1607716343	40606	409096	82034
1607716353	41042	414290	83111
1607716363	41554	419542	83973
1607716373	42102	424798	85059
1607716383	42632	430591	86127
1607716393	43178	435302	87239
1607716403	43648	439786	88107
1607716413	44150	444262	89122
1607716423	44590	449292	89890
1607716433	45020	453814	90840
1607716443	45380	459092	91667
1607716453	45882	463992	92559
1607716463	46412	468974	93631
1607716473	47050	473382	94605
1607716483	47492	478409	95658
1607716493	47982	483003	96531
1607716503	48402	488313	97422
1607716513	48872	492928	98318
1607716523	49324	498071	99254
1607716533	49678	502908	100306
1607716544	50098	508442	101258
1607716554	50684	512790	102345
1607716564	51168	518180	103364
1607716574	51594	522728	104190
1607716584	52042	527332	105227
1607716594	52636	532416	106148
1607716604	53204	537416	107176
1607716614	53804	542560	108177
1607716624	54188	547592	109160
1607716634	54634	552650	110232
1607716644	55022	557758	111414
1607716654	55464	563019	112380
1607716664	55958	568162	113315
1607716674	56542	573180	114288
1607716684	57138	578055	115395
1607716694	57576	582486	116575
1607716704	58042	587570	117510
1607716714	58484	592852	118412
1607716724	58942	597996	119441
1607716734	59354	603228	120380
1607716744	59700	608452	121432
1607716754	60116	613486	122590
1607716764	60574	618402	123549
1607716774	61038	623882	124523
1607716784	61450	629060	125475
1607716794	62088	634006	126498
1607716804	62562	639338	127566
1607716814	62944	643924	128556
1607716824	63278	648664	129622
1607716834	63780	653158	130618
1607716844	64192	658316	131490
1607716854	64802	663606	132566
1607716864	65332	668046	133512
1607716874	65916	672710	134603
1607716884	66444	678388	135605
1607716894	66920	682798	136583
1607716904	67400	688048	137724
1607716914	67924	693102	138752
1607716924	68450	698156	139820
1607716934	68886	702420	140654
1607716944	69348	707516	141630
1607716954	69780	712572	142616
1607716964	70210	717782	143457
1607716974	70712	722256	144472
1607716984	71128	727036	145470
1607716994	71522	731680	146391
1607717004	71920	736386	147434
1607717014	72250	741768	148358
1607717024	72546	747098	149326
1607717034	73056	751726	150355
1607717044	73744	756736	151462
1607717054	74192	761472	152533
1607717064	74756	766430	153432
1607717074	75302	771722	154364
1607717084	75760	776822	155256
1607717094	76424	781874	156200
1607717104	76906	787302	157189
1607717114	77286	792084	158226
1607717124	77884	796780	159356
1607717134	78306	801770	160393
1607717144	78938	806666	161518
1607717154	79308	811926	162479
1607717164	79790	817316	163524
1607717174	80360	822590	164368
1607717184	80886	827048	165355
1607717194	81460	832068	166450
1607717204	82032	837204	167510
1607717214	82556	842996	168511
1607717224	83078	847578	169543
1607717234	83530	852244	170531
1607717244	84042	857754	171382
1607717254	84528	862106	172538
1607717264	85122	867764	173625
1607717274	85588	872750	174564
1607717284	86140	877564	175491
1607717294	86654	882564	176606
1607717304	87226	886940	177514
1607717314	87720	892138	178666
1607717324	88314	896710	179744
1607717334	88738	901964	180786
1607717344	89236	906314	181728
1607717354	89788	911354	182781
1607717364	90304	916591	183895
1607717374	90762	921806	185022
1607717384	91240	927236	185942
1607717394	91702	932202	186770
1607717404	92300	937228	187907
1607717414	92778	942860	188940
1607717424	93172	947996	189986
1607717434	93560	953008	190894
1607717444	94076	957548	191996
1607717454	94666	962922	193068
1607717464	95342	968632	194133
1607717474	95874	973438	195036
1607717484	96398	977978	195937
1607717494	96912	982698	196858
1607717504	97452	988068	197804
1607717514	97986	992628	198798
